@relation 'TrainingData_g2_3-weka.filters.unsupervised.attribute.Remove-V-R2-3,5,8,17,20'

@attribute light_hallway {off,on}
@attribute light_bedroom {off,on}
@attribute switch_door_hallway {on,off}
@attribute current_lamp_bedroom {off,standby,on}
@attribute camera_livingroom {off,on}
@attribute class {OtherActivity,g2_3}

@data
off,off,off,off,off,OtherActivity
off,off,off,off,off,OtherActivity
off,off,off,off,off,OtherActivity
off,off,off,off,off,OtherActivity
off,off,off,off,off,OtherActivity
off,off,off,off,off,OtherActivity
off,off,off,off,off,OtherActivity
off,off,off,off,off,OtherActivity
off,off,off,off,off,OtherActivity
off,off,off,off,off,OtherActivity
off,off,off,off,off,OtherActivity
off,off,off,off,off,OtherActivity
off,off,off,off,off,OtherActivity
on,off,off,on,on,OtherActivity
on,off,off,on,on,OtherActivity
on,off,off,on,on,OtherActivity
on,off,off,on,on,OtherActivity
on,off,off,on,on,OtherActivity
on,off,off,on,on,OtherActivity
on,off,off,on,on,OtherActivity
on,off,off,on,on,OtherActivity
on,off,off,on,on,OtherActivity
on,off,off,on,on,OtherActivity
on,off,off,on,on,OtherActivity
on,off,off,on,on,OtherActivity
on,off,off,on,on,OtherActivity
on,off,off,on,on,OtherActivity
on,off,off,on,on,OtherActivity
on,off,off,on,on,OtherActivity
off,on,off,off,off,OtherActivity
off,on,off,off,off,OtherActivity
off,on,off,off,off,OtherActivity
off,on,off,off,off,OtherActivity
off,on,off,off,off,OtherActivity
off,on,off,off,off,OtherActivity
off,on,on,off,off,OtherActivity
off,on,off,off,off,OtherActivity
off,on,off,off,off,OtherActivity
off,on,off,off,off,OtherActivity
off,on,off,off,off,OtherActivity
off,on,off,off,off,OtherActivity
off,on,off,off,off,OtherActivity
off,on,off,off,off,OtherActivity
off,on,off,off,off,OtherActivity
off,on,off,off,off,OtherActivity
off,on,off,off,off,OtherActivity
off,on,off,off,off,OtherActivity
off,on,off,off,off,OtherActivity
off,on,off,off,off,OtherActivity
off,on,off,off,off,OtherActivity
off,on,off,off,off,OtherActivity
off,on,off,off,off,OtherActivity
off,on,off,off,off,OtherActivity
off,on,off,off,off,OtherActivity
off,on,off,off,off,OtherActivity
off,on,off,off,off,OtherActivity
off,on,off,off,off,OtherActivity
off,on,off,off,off,OtherActivity
off,on,off,off,off,OtherActivity
off,on,off,off,off,OtherActivity
off,on,off,off,off,OtherActivity
off,on,off,off,off,OtherActivity
off,on,off,off,off,OtherActivity
off,on,off,off,off,OtherActivity
off,on,off,off,off,OtherActivity
off,on,off,off,off,OtherActivity
off,on,off,off,off,OtherActivity
off,on,off,off,off,OtherActivity
off,off,off,off,off,OtherActivity
off,off,off,off,off,OtherActivity
off,off,off,off,off,OtherActivity
off,off,off,off,off,OtherActivity
off,off,off,off,off,OtherActivity
off,off,off,off,off,OtherActivity
off,off,off,off,off,OtherActivity
off,off,off,off,off,OtherActivity
off,off,off,off,off,OtherActivity
off,off,off,off,off,OtherActivity
off,off,off,off,off,OtherActivity
off,off,off,off,off,OtherActivity
off,off,off,off,off,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,on,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,on,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
off,off,off,off,on,OtherActivity
off,off,off,off,off,g2_3
off,off,off,off,off,g2_3
off,off,off,off,off,g2_3
off,off,off,off,off,g2_3
off,off,off,off,off,g2_3
off,off,off,off,off,g2_3
off,off,off,off,off,g2_3
off,off,off,off,off,g2_3
off,off,off,off,off,g2_3
off,off,off,off,off,g2_3
off,off,off,off,off,g2_3
off,off,off,off,off,g2_3
off,off,off,off,off,g2_3
off,off,off,off,off,g2_3
off,off,off,off,off,g2_3
off,off,off,off,off,g2_3
off,off,off,off,off,g2_3
off,off,off,off,off,g2_3
off,off,off,off,off,g2_3
off,off,off,off,off,g2_3
off,off,off,off,off,g2_3
off,off,off,off,off,g2_3
off,off,off,off,off,g2_3
off,off,off,off,off,g2_3
off,off,off,off,off,g2_3
off,off,off,off,off,g2_3
off,off,off,off,off,g2_3
off,off,on,off,off,OtherActivity
on,off,on,off,off,OtherActivity
on,off,on,off,off,OtherActivity
on,off,on,off,off,OtherActivity
on,off,on,off,off,OtherActivity
on,off,on,off,off,OtherActivity
on,off,on,off,off,OtherActivity
on,off,on,off,off,OtherActivity
on,off,on,off,off,OtherActivity
off,off,on,off,off,OtherActivity
on,off,on,off,off,OtherActivity
on,off,on,off,off,OtherActivity
on,off,on,off,off,OtherActivity
on,off,on,off,off,OtherActivity
on,off,on,off,off,OtherActivity
on,off,on,off,off,OtherActivity
on,off,on,off,off,OtherActivity
on,off,on,off,off,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,on,off,on,on,OtherActivity
on,on,off,on,on,OtherActivity
on,on,off,on,on,OtherActivity
on,on,off,on,on,OtherActivity
on,on,off,on,on,OtherActivity
on,on,off,on,on,OtherActivity
on,on,off,on,on,OtherActivity
on,on,off,on,on,OtherActivity
on,on,off,on,on,OtherActivity
on,on,off,on,on,OtherActivity
on,on,off,on,on,OtherActivity
on,on,off,on,on,OtherActivity
on,on,off,on,on,OtherActivity
on,on,off,on,on,OtherActivity
on,on,off,on,on,OtherActivity
on,on,off,on,on,OtherActivity
off,off,off,off,on,OtherActivity
off,off,off,off,on,OtherActivity
off,off,off,off,on,OtherActivity
off,off,off,off,on,OtherActivity
off,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
off,off,off,off,on,OtherActivity
on,on,off,off,on,OtherActivity
on,on,off,off,on,OtherActivity
on,on,off,off,on,OtherActivity
on,on,off,off,on,OtherActivity
on,on,off,off,on,OtherActivity
