@relation 'TrainingData_g3_1-weka.filters.unsupervised.attribute.Remove-V-R1,3,5,8,17,20'

@attribute light_livingroom {off,on}
@attribute light_bedroom {off,on}
@attribute switch_door_hallway {on,off}
@attribute current_lamp_bedroom {off,standby,on}
@attribute camera_livingroom {off,on}
@attribute class {OtherActivity,g3_1}

@data
off,off,off,off,off,OtherActivity
off,off,off,off,off,OtherActivity
off,off,off,off,off,OtherActivity
off,off,off,off,off,OtherActivity
off,off,off,off,off,OtherActivity
off,off,off,off,off,OtherActivity
off,off,off,off,off,OtherActivity
off,off,off,off,off,OtherActivity
off,off,off,off,off,OtherActivity
off,off,off,off,off,OtherActivity
off,off,off,off,off,OtherActivity
off,off,off,off,off,OtherActivity
off,off,off,off,off,OtherActivity
on,off,off,on,on,OtherActivity
on,off,off,on,on,OtherActivity
on,off,off,on,on,OtherActivity
on,off,off,on,on,OtherActivity
on,off,off,on,on,OtherActivity
on,off,off,on,on,OtherActivity
on,off,off,on,on,OtherActivity
on,off,off,on,on,OtherActivity
on,off,off,on,on,OtherActivity
on,off,off,on,on,OtherActivity
on,off,off,on,on,OtherActivity
on,off,off,on,on,OtherActivity
on,off,off,on,on,OtherActivity
on,off,off,on,on,OtherActivity
on,off,off,on,on,OtherActivity
on,off,off,on,on,OtherActivity
off,on,off,off,off,OtherActivity
off,on,off,off,off,OtherActivity
off,on,off,off,off,OtherActivity
off,on,off,off,off,OtherActivity
off,on,off,off,off,OtherActivity
off,on,off,off,off,OtherActivity
off,on,on,off,off,OtherActivity
off,on,off,off,off,OtherActivity
off,on,off,off,off,OtherActivity
off,on,off,off,off,OtherActivity
off,on,off,off,off,OtherActivity
off,on,off,off,off,OtherActivity
off,on,off,off,off,OtherActivity
off,on,off,off,off,OtherActivity
off,on,off,off,off,OtherActivity
off,on,off,off,off,OtherActivity
off,on,off,off,off,OtherActivity
off,on,off,off,off,OtherActivity
off,on,off,off,off,OtherActivity
off,on,off,off,off,OtherActivity
off,on,off,off,off,OtherActivity
off,on,off,off,off,OtherActivity
off,on,off,off,off,OtherActivity
off,on,off,off,off,OtherActivity
off,on,off,off,off,OtherActivity
off,on,off,off,off,OtherActivity
off,on,off,off,off,OtherActivity
off,on,off,off,off,OtherActivity
off,on,off,off,off,OtherActivity
off,on,off,off,off,OtherActivity
off,on,off,off,off,OtherActivity
off,on,off,off,off,OtherActivity
off,on,off,off,off,OtherActivity
off,on,off,off,off,OtherActivity
off,on,off,off,off,OtherActivity
off,on,off,off,off,OtherActivity
off,on,off,off,off,OtherActivity
off,on,off,off,off,OtherActivity
off,on,off,off,off,OtherActivity
off,off,off,off,off,OtherActivity
off,off,off,off,off,OtherActivity
off,off,off,off,off,OtherActivity
off,off,off,off,off,OtherActivity
off,off,off,off,off,OtherActivity
off,off,off,off,off,OtherActivity
off,off,off,off,off,OtherActivity
off,off,off,off,off,OtherActivity
off,off,off,off,off,OtherActivity
off,off,off,off,off,OtherActivity
off,off,off,off,off,OtherActivity
off,off,off,off,off,OtherActivity
off,off,off,off,off,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,on,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,on,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
off,off,off,off,on,OtherActivity
off,off,off,off,off,g3_1
off,off,off,off,off,g3_1
off,off,off,off,off,g3_1
off,off,off,off,off,g3_1
off,off,off,off,off,g3_1
off,off,off,off,off,g3_1
off,off,off,off,off,g3_1
off,off,off,off,off,g3_1
off,off,off,off,off,g3_1
off,off,off,off,off,g3_1
off,off,off,off,off,g3_1
off,off,off,off,off,g3_1
off,off,off,off,off,g3_1
off,off,off,off,off,g3_1
off,off,off,off,off,g3_1
off,off,off,off,off,g3_1
off,off,off,off,off,g3_1
off,off,off,off,off,g3_1
off,off,off,off,off,g3_1
off,off,off,off,off,g3_1
off,off,off,off,off,g3_1
off,off,off,off,off,g3_1
off,off,off,off,off,g3_1
off,off,off,off,off,g3_1
off,off,off,off,off,g3_1
off,off,off,off,off,g3_1
off,off,off,off,off,g3_1
off,off,on,off,off,g3_1
off,off,on,off,off,g3_1
off,off,on,off,off,g3_1
off,off,on,off,off,g3_1
off,off,on,off,off,g3_1
off,off,on,off,off,g3_1
off,off,on,off,off,g3_1
off,off,on,off,off,g3_1
off,off,on,off,off,g3_1
off,off,on,off,off,g3_1
off,off,on,off,off,g3_1
off,off,on,off,off,g3_1
off,off,on,off,off,g3_1
off,off,on,off,off,g3_1
off,off,on,off,off,g3_1
off,off,on,off,off,g3_1
off,off,on,off,off,g3_1
off,off,on,off,off,g3_1
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,on,off,on,on,OtherActivity
on,on,off,on,on,OtherActivity
on,on,off,on,on,OtherActivity
on,on,off,on,on,OtherActivity
on,on,off,on,on,OtherActivity
on,on,off,on,on,OtherActivity
on,on,off,on,on,OtherActivity
on,on,off,on,on,OtherActivity
on,on,off,on,on,OtherActivity
on,on,off,on,on,OtherActivity
on,on,off,on,on,OtherActivity
on,on,off,on,on,OtherActivity
on,on,off,on,on,OtherActivity
on,on,off,on,on,OtherActivity
on,on,off,on,on,OtherActivity
on,on,off,on,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,off,off,off,on,OtherActivity
on,on,off,off,on,OtherActivity
on,on,off,off,on,OtherActivity
on,on,off,off,on,OtherActivity
on,on,off,off,on,OtherActivity
on,on,off,off,on,OtherActivity
on,on,off,off,on,OtherActivity
on,on,off,off,on,OtherActivity
